perfume_index,similar_perfume_index,rounded_percentage_match
154,3733,62
154,7426,60
154,1786,59
155,2027,76
155,6624,72
155,8254,64
156,6248,58
156,4957,56
156,1297,55
157,5381,53
157,2054,53
157,10766,49
158,6927,72
158,2802,57
158,7769,56
159,168,95
159,10347,76
159,8328,71
160,169,60
160,4607,54
160,6378,40
161,9750,72
161,8692,57
161,648,53
162,2411,63
162,2397,59
162,4607,58
163,6750,54
163,3030,52
163,3029,51
164,4956,73
164,8657,59
164,5049,58
165,167,87
165,166,83
165,10449,58
166,167,96
166,165,83
166,3327,61
167,166,96
167,165,87
167,3327,58
168,159,95
168,965,73
168,10347,72
169,4607,76
169,160,60
169,6378,57
170,2807,58
170,7121,54
170,8936,53
171,6593,58
171,10788,57
171,2547,56
172,4257,81
172,10026,68
172,2020,67
173,4862,60
173,3434,52
173,7500,49
174,6629,70
174,4869,65
174,904,65
175,180,68
175,402,51
175,182,47
176,10475,69
176,3589,65
176,1915,60
177,402,72
177,7548,55
177,180,53
178,4864,62
178,2671,57
178,7529,53
179,5194,54
179,5193,54
179,1572,51
180,175,68
180,402,59
180,177,53
181,501,55
181,4833,50
181,6335,47
182,4829,61
182,175,47
182,180,46
183,9322,65
183,9859,64
183,6315,62
184,189,86
184,5985,68
184,5995,67
185,9946,61
185,6013,60
185,4608,58
186,10041,72
186,4018,66
186,9079,66
187,6391,58
187,6640,54
187,7275,54
188,1513,56
188,6643,54
188,118,54
189,184,86
189,5964,72
189,6269,68
190,5427,62
190,5634,61
190,7737,61
191,3091,56
191,2443,56
191,8788,54
192,3278,65
192,9606,63
192,9607,63
193,1013,53
193,9918,52
193,9862,52
194,9569,47
194,3846,47
194,195,46
195,8500,55
195,8534,48
195,10275,47
196,7522,57
196,1492,55
196,4272,51
197,1587,51
197,8619,48
197,969,47
198,2012,63
198,9056,63
198,2302,62
199,8486,55
199,7533,53
199,6363,52
200,4639,57
200,2876,56
200,2037,55
201,7603,55
201,2037,55
201,6773,48
202,6034,58
202,4388,52
202,4387,52
203,5777,66
203,1941,64
203,9907,58
204,3447,59
204,210,57
204,1904,53
205,9918,67
205,8742,53
205,1833,51
206,1042,55
206,10464,55
206,3565,53
207,8522,59
207,9197,59
207,9999,59
208,210,57
208,9757,54
208,5854,54
209,1732,55
209,4934,54
209,6089,52
210,10099,64
210,1904,61
210,497,61
211,3506,76
211,2571,68
211,9577,62
212,6066,70
212,3445,64
212,2869,63
213,4770,62
213,2304,61
213,1324,52
214,9478,69
214,8428,65
214,3241,64
215,864,55
215,8127,54
215,2846,54
216,9816,66
216,8408,56
216,8389,52
217,4385,74
217,3134,69
217,3125,69
218,6271,84
218,1969,66
218,221,64
219,8134,71
219,982,65
219,8254,61
220,4806,72
220,8389,71
220,2885,67
221,218,64
221,6271,57
221,977,57
222,727,54
222,10562,50
222,8537,45
223,8505,79
223,7406,72
223,9543,64
224,2864,71
224,3817,69
224,2020,67
225,4449,75
225,9705,75
225,7116,70
226,540,38
226,8075,34
226,5407,31
227,7749,75
227,1916,72
227,1908,71
228,8385,66
228,3565,62
228,2935,61
229,6411,73
229,1087,72
229,10656,72
230,7622,94
230,1365,75
230,5648,74
231,10344,78
231,5613,77
231,6663,73
232,5696,76
232,7805,70
232,1637,67
233,303,61
233,4715,58
233,6213,56
234,428,56
234,7234,54
234,4426,51
235,5440,75
235,4246,58
235,7935,55
236,369,58
236,5160,55
236,6956,53
237,6071,69
237,5147,60
237,3378,58
238,3958,66
238,1537,64
238,7659,64
239,2910,55
239,8643,49
239,1741,47
240,8992,78
240,4176,69
240,4301,66
241,10602,35
241,459,34
241,9638,33
242,10198,63
242,6577,51
242,10560,51
243,2898,44
243,4764,43
243,5120,42
244,1037,53
244,9117,51
244,3897,49
245,2008,46
245,9456,45
245,4630,40
246,1560,53
246,8185,52
246,3218,51
247,7568,61
247,419,58
247,1730,55
248,255,84
248,6637,55
248,5450,52
249,2351,49
249,1248,47
249,6053,47
250,1764,46
250,782,41
250,7421,41
251,8166,63
251,8892,48
251,7449,48
252,1376,62
252,10252,55
252,736,54
253,6519,60
253,1465,60
253,2829,54
254,6432,51
254,7925,50
254,9835,49
255,248,84
255,6637,50
255,5450,47
256,7466,53
256,7702,50
256,8546,48
257,1201,59
257,6322,57
257,4862,54
258,1728,62
258,1201,55
258,1285,53
259,8644,57
259,967,56
259,5158,52
260,1925,59
260,3019,54
260,1884,52
261,4305,61
261,8291,57
261,6460,54
262,5685,49
262,4142,49
262,1051,48
263,26,50
263,5568,47
263,5569,46
264,8674,60
264,6672,51
264,4787,50
265,7262,78
265,7264,74
265,2176,65
266,10325,56
266,7519,50
266,1002,50
267,1574,55
267,8756,53
267,9318,50
268,6694,53
268,452,52
268,9548,52
269,3378,67
269,3817,63
269,2348,62
270,7526,72
270,7667,72
270,7532,71
271,4939,62
271,9079,52
271,6664,51
272,4988,50
272,1756,49
272,4647,49
273,275,55
273,660,54
273,7602,52
274,10415,46
274,8674,45
274,3528,45
275,7602,81
275,1201,68
275,2471,66
276,2247,57
276,6609,56
276,3754,55
277,7805,50
277,6789,45
277,9554,45
278,5409,57
278,6411,53
278,1532,52
279,6841,52
279,3293,51
279,8555,49
280,10308,64
280,5190,60
280,2988,59
281,10165,59
281,6260,55
281,4514,52
282,1773,57
282,4080,50
282,4981,46
283,9514,57
283,5114,57
283,9160,56
284,8239,54
284,1388,49
284,3802,39
285,4228,57
285,9104,55
285,2982,55
286,9946,53
286,5187,47
286,7423,46
287,1730,60
287,419,57
287,7568,55
288,4472,66
288,1455,59
288,3070,55
289,7792,59
289,9586,58
289,7753,54
290,1978,56
290,2097,52
290,9973,50
291,513,65
291,4951,61
291,2535,53
292,6544,55
292,519,52
292,4388,51
293,9946,62
293,7422,55
293,6009,54
294,5843,59
294,1594,53
294,9205,48
295,8563,76
295,5152,71
295,4066,71
296,7337,72
296,2296,63
296,5491,62
297,6518,56
297,8242,55
297,689,50
298,311,62
298,309,57
298,4133,23
299,4662,45
299,4464,42
299,6609,40
300,3570,48
300,1255,48
300,4949,43
301,8418,63
301,306,30
301,6609,25
302,7756,67
302,6128,52
302,5096,48
303,4715,92
303,6213,87
303,6673,84
304,8906,77
304,9466,75
304,10032,73
305,655,65
305,4769,38
305,9713,35
306,10804,71
306,2942,71
306,3574,65
307,760,46
307,6661,45
307,7261,43
308,7012,42
308,6930,39
308,5566,38
309,311,72
309,298,57
309,3574,36
310,6156,54
310,5507,44
310,3565,41
311,309,72
311,298,62
311,2714,61
312,10804,50
312,2942,50
312,6609,47
313,9905,62
313,7805,60
313,3967,58
314,5569,52
314,8372,46
314,7006,40
315,4059,75
315,8317,72
315,766,62
316,5210,68
316,2337,57
316,6793,55
317,2345,80
317,2339,79
317,567,65
318,4473,88
318,4479,67
318,7424,51
319,8865,87
319,4041,67
319,1182,62
320,9118,49
320,2312,46
320,1592,41
321,9368,74
321,4052,72
321,6513,66
322,9226,92
322,8329,91
322,568,77
323,8086,47
323,6793,43
323,5059,43
324,1929,68
324,1119,59
324,925,58
325,3548,57
325,3581,56
325,5132,55
326,5458,66
326,4262,52
326,2461,51
327,1216,46
327,3400,45
327,2232,45
328,9791,60
328,26,45
328,2220,42
329,9909,67
329,1271,63
329,2933,60
330,3906,60
330,7426,60
330,10701,59
331,8733,52
331,6983,49
331,4754,48
332,1829,47
332,6660,46
332,6288,43
333,8466,70
333,3565,49
333,4697,47
334,8915,79
334,67,78
334,3147,69
335,7175,71
335,7465,65
335,8958,62
336,733,67
336,10031,66
336,3422,65
337,611,69
337,4119,66
337,1043,62
338,1978,72
338,4779,65
338,2097,59
339,341,72
339,8042,71
339,5214,70
340,8878,88
340,4060,88
340,10501,83
341,10037,86
341,8042,84
341,6753,84
342,2899,72
342,2375,68
342,4922,64
343,5537,55
343,5273,54
343,1784,53
344,9658,84
344,4076,67
344,722,66
345,4282,76
345,3061,72
345,4283,66
346,4046,63
346,788,59
346,1082,57
347,9038,63
347,8879,63
347,3022,61
348,832,59
348,1270,58
348,5794,56
349,2050,72
349,8108,71
349,2421,61
350,5605,82
350,1693,69
350,4369,66
351,756,64
351,2945,61
351,5698,60
352,9469,58
352,4897,56
352,5104,55
353,9244,96
353,9245,95
353,9233,93
354,8978,61
354,51,59
354,4806,58
355,8277,100
355,5550,95
355,5559,71
356,9493,63
356,7230,59
356,10593,55
357,1308,63
357,2070,59
357,4902,56
358,741,52
358,3967,51
358,4214,48
359,7121,57
359,8007,57
359,10292,54
360,361,91
360,2242,48
360,7678,48
361,360,91
361,7678,50
361,7666,48
362,4176,67
362,5960,62
362,4707,60
363,372,59
363,2656,47
363,3332,46
364,356,46
364,6206,45
364,1547,44
365,10338,54
365,10339,48
365,7416,47
366,4907,52
366,9380,47
366,54,44
367,8115,67
367,8119,64
367,7705,58
368,4960,45
368,10033,41
368,7243,39
369,10348,60
369,236,58
369,2116,55
370,3210,50
370,9481,48
370,1741,48
371,3136,63
371,8857,58
371,7953,55
372,8080,62
372,3588,60
372,2024,59
373,8732,61
373,606,60
373,6321,59
374,8397,58
374,10311,55
374,9543,55
375,2522,49
375,4477,47
375,5522,47
376,8509,58
376,4228,46
376,5737,45
377,10005,50
377,3377,48
377,3390,48
378,9508,54
378,658,50
378,4241,50
379,10647,41
379,10348,40
379,9539,39
380,4543,58
380,1646,53
380,1643,52
381,8437,38
381,5901,37
381,787,33
382,1361,40
382,6538,37
382,7081,35
383,707,43
383,3366,42
383,5154,42
384,10311,52
384,8397,48
384,2564,48
385,1799,61
385,2071,52
385,9823,52
386,7624,62
386,7540,51
386,7364,48
387,3135,60
387,9019,54
387,9733,53
388,388,100
388,9757,54
388,1411,47
389,949,82
389,9188,71
389,4272,69
390,8001,54
390,4609,48
390,6427,47
391,388,100
391,9757,54
391,1411,47
392,5181,51
392,8104,47
392,8720,47
393,5799,57
393,4180,52
393,6759,52
394,86,51
394,7397,49
394,1730,47
395,10807,53
395,9652,49
395,6287,49
396,8797,70
396,10156,50
396,2364,48
397,1734,48
397,2463,47
397,373,42
398,6632,56
398,9151,55
398,686,53
399,4618,48
399,8949,48
399,4324,45
400,10604,61
400,8299,52
400,289,49
401,5933,62
401,6954,55
401,3554,54
402,177,72
402,7548,63
402,3138,63
403,860,67
403,1455,65
403,2899,64
404,417,100
404,9929,77
404,2890,71
405,9160,68
405,4144,67
405,4425,66
406,990,43
406,5381,43
406,8620,42
407,5373,49
407,4958,44
407,7608,44
408,8329,66
408,322,62
408,568,59
409,581,75
409,6061,65
409,8377,58
410,4555,58
410,9223,56
410,8697,56
411,7620,80
411,10627,55
411,5493,54
412,4759,55
412,2428,54
412,6719,53
413,8937,93
413,7839,93
413,9213,90
414,8785,76
414,4135,59
414,7601,58
415,4897,70
415,1166,69
415,10349,67
416,9316,55
416,887,54
416,1848,53
417,417,100
417,9929,77
417,2890,71
418,1716,68
418,4579,62
418,8245,57
419,1730,87
419,7568,82
419,2755,71
420,5886,61
420,10681,60
420,2351,59
421,2984,65
421,5193,63
421,422,61
422,9473,67
422,6346,65
422,421,61
423,5046,65
423,9106,60
423,4115,60
424,2467,58
424,968,52
424,5116,50
425,426,100
425,9558,52
425,6211,49
426,426,100
426,9558,52
426,6211,49
427,627,67
427,2785,62
427,901,60
428,7234,99
428,4426,70
428,7373,69
429,10517,53
429,10516,53
429,6831,52
430,5742,66
430,7116,57
430,8546,57
431,7130,61
431,2001,60
431,4179,60
432,1438,68
432,8883,65
432,8298,65
433,6091,66
433,5245,66
433,5188,66
434,4425,69
434,1988,67
434,10052,65
435,8880,56
435,3170,55
435,10506,53
436,9825,65
436,434,62
436,8315,61
437,2750,68
437,3713,66
437,8080,64
438,9343,56
438,9848,55
438,432,54
439,9591,55
439,1809,54
439,2782,52
440,10014,54
440,1569,52
440,5167,52
441,7982,65
441,3791,63
441,6018,61
442,5073,65
442,3326,57
442,3731,57
443,2791,64
443,603,63
443,5002,61
444,3589,63
444,7184,57
444,1698,55
445,2883,59
445,7417,58
445,613,55
446,6428,43
446,7337,43
446,1369,40
447,6746,69
447,866,67
447,4707,62
448,10595,78
448,6408,59
448,10015,58
449,1904,91
449,497,91
449,8331,91
450,530,72
450,6250,55
450,902,53
451,792,62
451,6783,57
451,10578,57
452,6248,68
452,3830,60
452,8068,58
453,1980,74
453,8046,72
453,7062,68
454,4390,58
454,2932,53
454,2385,53
455,9293,52
455,5156,50
455,9294,45
456,739,64
456,9753,61
456,7469,58
457,8389,64
457,4816,57
457,2885,53
458,8465,59
458,1491,52
458,6937,52
459,8971,66
459,9412,54
459,4505,53
460,1231,68
460,9406,67
460,4277,67
461,10499,54
461,10645,54
461,7043,54
462,8354,49
462,7816,46
462,3216,42
463,2788,83
463,665,52
463,7819,52
464,16,84
464,7338,60
464,3034,57
465,3716,67
465,8790,62
465,4034,61
466,5377,86
466,5609,86
466,6243,78
467,2060,73
467,3968,72
467,4623,70
468,1795,67
468,3796,66
468,989,63
469,5864,67
469,5863,67
469,5871,67
470,4228,59
470,186,58
470,2378,54
471,9244,80
471,353,80
471,9245,79
472,3895,57
472,2897,55
472,147,53
473,7751,82
473,10483,81
473,3260,80
474,1731,61
474,9966,61
474,1047,60
475,1719,71
475,9191,69
475,8406,60
476,722,74
476,6087,69
476,8909,69
477,5419,80
477,4577,78
477,8871,72
478,9058,78
